product_name,review_rating,review_text
USB Charger,2,Battery life could be better.
Wireless Mouse,1,Battery life could be better.
Bluetooth Speaker,3,Highly recommended.
Phone Case,5,Highly recommended.
Phone Case,5,Not worth the price.
Laptop Sleeve,3,Fits perfectly and looks good.
USB Charger,1,Not worth the price.
Portable SSD,2,Build quality is impressive.
USB Charger,3,Not worth the price.
Smartwatch,2,Value for money.
Mechanical Keyboard,2,Value for money.
Wireless Mouse,2,Build quality is impressive.
Wireless Mouse,1,Build quality is impressive.
USB Charger,1,Very satisfied with the purchase.
Phone Case,2,Not worth the price.
Phone Case,4,Value for money.
Portable SSD,5,Loved the design and quality.
Smartwatch,1,Loved the design and quality.
Wireless Mouse,4,Highly recommended.
Portable SSD,4,Very satisfied with the purchase.
Phone Case,5,Loved the design and quality.
Portable SSD,2,Very satisfied with the purchase.
Mechanical Keyboard,4,"Excellent product, works great!"
Phone Case,4,Value for money.
Fitness Tracker,4,Not worth the price.
Smartwatch,2,Very satisfied with the purchase.
Bluetooth Speaker,2,Very satisfied with the purchase.
Wireless Mouse,1,Fits perfectly and looks good.
Laptop Sleeve,1,Not worth the price.
Mechanical Keyboard,4,"Excellent product, works great!"
Graphic Tablet,2,Fits perfectly and looks good.
Bluetooth Speaker,2,Build quality is impressive.
Laptop Sleeve,5,Highly recommended.
Phone Case,4,Value for money.
Graphic Tablet,1,Stopped working after a week.
USB Charger,5,Not worth the price.
USB Charger,2,Stopped working after a week.
Mechanical Keyboard,1,Build quality is impressive.
USB Charger,4,Not worth the price.
Graphic Tablet,2,"Excellent product, works great!"
Graphic Tablet,4,Fits perfectly and looks good.
Smartwatch,5,Very satisfied with the purchase.
Bluetooth Speaker,5,Fits perfectly and looks good.
Wireless Mouse,5,Stopped working after a week.
Fitness Tracker,3,Not worth the price.
Portable SSD,4,Battery life could be better.
USB Charger,5,Value for money.
Mechanical Keyboard,5,Highly recommended.
USB Charger,4,Very satisfied with the purchase.
Portable SSD,5,Stopped working after a week.
Bluetooth Speaker,4,Value for money.
Smartwatch,2,Build quality is impressive.
Graphic Tablet,4,Very satisfied with the purchase.
Smartwatch,4,Value for money.
Phone Case,3,Not worth the price.
USB Charger,2,Build quality is impressive.
Wireless Mouse,3,"Excellent product, works great!"
Phone Case,5,Highly recommended.
Bluetooth Speaker,4,Stopped working after a week.
USB Charger,2,Loved the design and quality.
Phone Case,3,Battery life could be better.
USB Charger,4,Loved the design and quality.
Mechanical Keyboard,1,Stopped working after a week.
Bluetooth Speaker,3,Very satisfied with the purchase.
Fitness Tracker,2,Stopped working after a week.
Graphic Tablet,3,Stopped working after a week.
Laptop Sleeve,3,Not worth the price.
Graphic Tablet,3,Fits perfectly and looks good.
Graphic Tablet,5,Battery life could be better.
Phone Case,1,"Excellent product, works great!"
Bluetooth Speaker,2,"Excellent product, works great!"
USB Charger,2,Value for money.
Smartwatch,2,"Excellent product, works great!"
Laptop Sleeve,4,Battery life could be better.
Portable SSD,2,Value for money.
Phone Case,2,Value for money.
Laptop Sleeve,1,Very satisfied with the purchase.
Fitness Tracker,4,Fits perfectly and looks good.
Mechanical Keyboard,4,Loved the design and quality.
Bluetooth Speaker,3,Build quality is impressive.
Portable SSD,5,Very satisfied with the purchase.
Phone Case,4,Highly recommended.
Graphic Tablet,4,Fits perfectly and looks good.
Wireless Mouse,1,Fits perfectly and looks good.
Phone Case,2,Fits perfectly and looks good.
Wireless Mouse,4,Stopped working after a week.
Graphic Tablet,4,Highly recommended.
Mechanical Keyboard,5,Very satisfied with the purchase.
Bluetooth Speaker,1,Highly recommended.
USB Charger,5,Loved the design and quality.
Phone Case,4,Not worth the price.
Smartwatch,4,Highly recommended.
Graphic Tablet,1,Fits perfectly and looks good.
Phone Case,3,Loved the design and quality.
Fitness Tracker,3,Not worth the price.
Mechanical Keyboard,4,Battery life could be better.
Fitness Tracker,4,Not worth the price.
Laptop Sleeve,5,Battery life could be better.
Bluetooth Speaker,5,"Excellent product, works great!"
Laptop Sleeve,5,Not worth the price.
Phone Case,2,Battery life could be better.
Portable SSD,4,Build quality is impressive.
Portable SSD,2,Fits perfectly and looks good.
Bluetooth Speaker,3,Stopped working after a week.
Smartwatch,4,Not worth the price.
Mechanical Keyboard,4,Value for money.
Smartwatch,1,Highly recommended.
Mechanical Keyboard,4,Battery life could be better.
Graphic Tablet,3,Very satisfied with the purchase.
Phone Case,4,Battery life could be better.
Laptop Sleeve,2,Not worth the price.
Portable SSD,4,Battery life could be better.
Fitness Tracker,2,Loved the design and quality.
USB Charger,5,Very satisfied with the purchase.
Wireless Mouse,5,Not worth the price.
USB Charger,1,Stopped working after a week.
Laptop Sleeve,4,Loved the design and quality.
Laptop Sleeve,5,Very satisfied with the purchase.
Mechanical Keyboard,5,Highly recommended.
Smartwatch,1,Value for money.
USB Charger,1,Highly recommended.
Mechanical Keyboard,4,Battery life could be better.
Mechanical Keyboard,2,Battery life could be better.
Smartwatch,4,"Excellent product, works great!"
Fitness Tracker,2,Very satisfied with the purchase.
Portable SSD,1,Battery life could be better.
Bluetooth Speaker,3,"Excellent product, works great!"
Portable SSD,4,Highly recommended.
Wireless Mouse,3,"Excellent product, works great!"
USB Charger,2,Highly recommended.
Portable SSD,4,Not worth the price.
Bluetooth Speaker,3,Battery life could be better.
Graphic Tablet,3,Loved the design and quality.
USB Charger,4,Highly recommended.
Bluetooth Speaker,3,Value for money.
Mechanical Keyboard,4,Loved the design and quality.
Laptop Sleeve,3,Loved the design and quality.
Fitness Tracker,1,Highly recommended.
Wireless Mouse,4,Battery life could be better.
Bluetooth Speaker,1,Fits perfectly and looks good.
Portable SSD,5,Stopped working after a week.
Laptop Sleeve,1,"Excellent product, works great!"
Portable SSD,3,Battery life could be better.
USB Charger,2,Not worth the price.
Bluetooth Speaker,1,"Excellent product, works great!"
Portable SSD,1,Highly recommended.
Smartwatch,1,Value for money.
Phone Case,2,Fits perfectly and looks good.
Laptop Sleeve,2,Stopped working after a week.
Graphic Tablet,1,Battery life could be better.
Laptop Sleeve,5,Value for money.
Portable SSD,2,Very satisfied with the purchase.
Portable SSD,2,Fits perfectly and looks good.
Wireless Mouse,2,Loved the design and quality.
Smartwatch,4,Fits perfectly and looks good.
Graphic Tablet,1,Build quality is impressive.
Fitness Tracker,5,Value for money.
Wireless Mouse,2,Build quality is impressive.
USB Charger,4,Build quality is impressive.
Graphic Tablet,3,Battery life could be better.
Bluetooth Speaker,3,Fits perfectly and looks good.
Phone Case,2,Battery life could be better.
Wireless Mouse,5,Not worth the price.
Phone Case,5,Battery life could be better.
Smartwatch,1,Value for money.
USB Charger,2,Stopped working after a week.
USB Charger,3,Not worth the price.
Fitness Tracker,1,Stopped working after a week.
USB Charger,5,Fits perfectly and looks good.
Portable SSD,1,Loved the design and quality.
Laptop Sleeve,3,Very satisfied with the purchase.
Laptop Sleeve,5,Build quality is impressive.
Fitness Tracker,4,Value for money.
Portable SSD,4,Stopped working after a week.
Laptop Sleeve,2,Very satisfied with the purchase.
Bluetooth Speaker,1,"Excellent product, works great!"
Portable SSD,5,Battery life could be better.
Smartwatch,2,Build quality is impressive.
Mechanical Keyboard,1,Stopped working after a week.
Phone Case,3,Not worth the price.
Portable SSD,5,Value for money.
Phone Case,1,Battery life could be better.
Bluetooth Speaker,5,Highly recommended.
Mechanical Keyboard,1,Very satisfied with the purchase.
Graphic Tablet,3,Value for money.
Fitness Tracker,5,Stopped working after a week.
Portable SSD,4,Loved the design and quality.
Fitness Tracker,3,Not worth the price.
USB Charger,1,"Excellent product, works great!"
Phone Case,5,Highly recommended.
Phone Case,3,Build quality is impressive.
USB Charger,1,Value for money.
Graphic Tablet,4,Highly recommended.
Wireless Mouse,4,Loved the design and quality.
Smartwatch,1,Stopped working after a week.
Portable SSD,4,Not worth the price.
Phone Case,3,Battery life could be better.
Smartwatch,4,Very satisfied with the purchase.
Phone Case,2,Stopped working after a week.
Wireless Mouse,4,Fits perfectly and looks good.
USB Charger,2,"Excellent product, works great!"
Wireless Mouse,5,"Excellent product, works great!"
Phone Case,3,Battery life could be better.
USB Charger,5,Not worth the price.
Wireless Mouse,5,Stopped working after a week.
Graphic Tablet,4,Stopped working after a week.
USB Charger,4,Loved the design and quality.
Portable SSD,4,Build quality is impressive.
Phone Case,5,Fits perfectly and looks good.
Bluetooth Speaker,3,Very satisfied with the purchase.
Fitness Tracker,3,Not worth the price.
Phone Case,2,Value for money.
Portable SSD,1,Build quality is impressive.
Laptop Sleeve,3,Very satisfied with the purchase.
Smartwatch,4,Highly recommended.
Smartwatch,2,Fits perfectly and looks good.
Fitness Tracker,4,Very satisfied with the purchase.
Phone Case,5,Stopped working after a week.
Fitness Tracker,5,Not worth the price.
